"identifiant";"prenom";"nom";"region";"departement";"numero_circonscription";"profession";"groupe_politique_complet";"groupe_politique_abrege"
"795998";"émeline";"K/Bidi";"Réunion";"Réunion";"4";"Avocate";"Gauche Démocrate et Républicaine";"GDR"
"796106";"édouard";"Bénard";"Normandie";"Seine-Maritime";"3";"Collaborateur d'élu";"Gauche Démocrate et Républicaine";"GDR"
"719412";"Sandrine";"Le Feur";"Bretagne";"Finistére";"4";"Agriculteur-propriétaire exploitant";"Ensemble pour la République";"EPR"
"841553";"Thierry";"Tesson";"Hauts-de-France";"Nord";"17";"(74) - Ancien cadre";"Rassemblement National";"RN"
"794946";"Antoine";"Villedieu";"Bourgogne-Franche-Comté";"Haute-Saéne";"1";"Policier";"Rassemblement National";"RN"
"794234";"Francois";"Gernigon";"Pays de la Loire";"Maine-et-Loire";"1";"Ancien cadre";"Horizons & Indépendants";"HOR"
"842147";"Christophe";"Mongardien";"Ile-de-France";"Hauts-de-Seine";"13";"Ingénieur - Responsable Support Technique Grands Comptes";"Ensemble pour la République";"EPR"
"610002";"Eva";"Sas";"Ile-de-France";"Paris";"8";"Cadre supérieur du secteur privé";"écologiste et Social";"EcoS"
"796118";"Bénédicte";"Auzanot";"Provence-Alpes-Céte d'Azur";"Vaucluse";"2";"(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r";"Rassemblement National";"RN"
"841713";"Boris";"Tavernier";"Auvergne-Rhéne-Alpes";"Rhéne";"2";"(37) - Cadre administratif et commercial d'entreprise";"écologiste et Social";"EcoS"
"840903";"Paul";"Christophle";"Auvergne-Rhéne-Alpes";"Dréme";"1";"(37) - Cadre administratif et commercial d'entreprise";"Socialistes et apparentés";"SOC"
"722336";"Vincent";"Thiébaut";"Grand Est";"Bas-Rhin";"9";"Autre cadre (secteur privé)";"Horizons & Indépendants";"HOR"
"842271";"Emmanuel";"Maurel";"Ile-de-France";"Val-d'Oise";"3";"(34) - Professeur, profession scientifique";"Gauche Démocrate et Républicaine";"GDR"
"840075";"Eddy";"Casterman";"Hauts-de-France";"Aisne";"3";"(37) - Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"841075";"Sylvie";"Josserand";"Occitanie";"Gard";"6";"(31) - Profession libérale";"Rassemblement National";"RN"
"841605";"Antoine";"Golliot";"Hauts-de-France";"Pas-de-Calais";"5";"(47) - Technicien";"Rassemblement National";"RN"
"677483";"Stéphane";"Mazars";"Occitanie";"Aveyron";"1";"Avocat";"Ensemble pour la République";"EPR"
"842187";"Gabrielle";"Cathala";"Ile-de-France";"Val-d'Oise";"6";"Secrétaire générale de groupe parlementaire";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"721410";"émilie";"Bonnivard";"Auvergne-Rhéne-Alpes";"Savoie";"3";"Cadre é la Caisse des Dépéts et Consignations";"Droite Républicaine";"DR"
"330909";"Vincent";"Descoeur";"Auvergne-Rhéne-Alpes";"Cantal";"1";"Professeur agrégé de biologie";"Droite Républicaine";"DR"
"796062";"Thomas";"Portes";"Ile-de-France";"Seine-Saint-Denis";"3";"Cheminot";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"841351";"Emmanuel";"Duplessy";"Centre-Val de Loire";"Loiret";"2";"(33) - Cadre de la fonction publique";"écologiste et Social";"EcoS"
"793520";"Mickaél";"Cosson";"Bretagne";"Cétes-d'Armor";"1";"Chargé d'opérations urbanisme";"Les Démocrates";"Dem"
"607553";"Dominique";"Potier";"Grand Est";"Meurthe-et-Moselle";"5";"Agriculteur";"Socialistes et apparentés";"SOC"
"793094";"Nicolas";"Ray";"Auvergne-Rhéne-Alpes";"Allier";"3";"Inspecteur principal des Finances publiques";"Droite Républicaine";"DR"
"840135";"Alexandre";"Dufosset";"Hauts-de-France";"Nord";"18";"(54) - Employé administratif d'entreprise";"Rassemblement National";"RN"
"794786";"Emmanuel";"Fernandes";"Grand Est";"Bas-Rhin";"2";"Profession intermédiaire administrative et commerciale des entreprises";"La France insoumise - Nouveau Front Populaire";"LFI-NFP"
"1654";"Franéois";"Hollande";"Nouvelle-Aquitaine";"Corréze";"1";"Conseiller référendaire é la Cour des comptes";"Socialistes et apparentés";"SOC"
"793928";"Edwige";"Diaz";"Nouvelle-Aquitaine";"Gironde";"11";"Cadre administratif et commercial d'entreprise";"Rassemblement National";"RN"
"719632";"Sophie";"Panonacle";"Nouvelle-Aquitaine";"Gironde";"8";"Sans profession déclarée";"Ensemble pour la République";"EPR"
"840809";"Gérault";"Verny";"Provence-Alpes-Céte d'Azur";"Bouches-du-Rhéne";"14";"(23) - Chef d'entreprise de 10 salariés ou plus";"UDR";"UDR"
"796010";"Frédéric";"Maillot";"Réunion";"Réunion";"6";"Intervenant social";"Gauche Démocrate et Républicaine";"GDR"
"841563";"Claire";"Marais-Beuil";"Hauts-de-France";"Oise";"1";"Profession libérale";"Rassemblement National";"RN"
"266793";"Jean-Yves";"Bony";"Auvergne-Rhéne-Alpes";"Cantal";"2";"Exploitant agricole";"Droite Républicaine";"DR"
"841013";"Isabelle";"Mesnard";"Centre-Val de Loire";"Eure-et-Loir";"1";"Sans profession déclarée";"Horizons & Indépendants";"HOR"
"794278";"Xavier";"Albertini";"Grand Est";"Marne";"1";"Profession libérale";"Horizons & Indépendants";"HOR"
"841801";"Daniéle";"Carteron";"Auvergne-Rhéne-Alpes";"Haute-Savoie";"2";"Cheffe d'entreprise";"Ensemble pour la République";"EPR"
"267200";"Sébastien";"Huyghe";"Hauts-de-France";"Nord";"5";"Notaire";"Ensemble pour la République";"EPR"
"330008";"Xavier";"Breton";"Auvergne-Rhéne-Alpes";"Ain";"1";"Cadre territorial";"Droite Républicaine";"DR"
"842117";"Vincent";"Jeanbrun";"Ile-de-France";"Val-de-Marne";"7";"(33) - Cadre de la fonction publique";"Droite Républicaine";"DR"
"607090";"Jean-Pierre";"Vigier";"Auvergne-Rhéne-Alpes";"Haute-Loire";"2";"Fonctionnaire de catégorie A";"Droite Républicaine";"DR"
